Nom;Prenom;email;age;Domaine_professionnel;Compétences_acquises;Compétences_en_court;Niveau_de_maîtrise;Compétences_cibles;Durée_apprentissage_par_compétence;Dernière_activité;Score
Freeman;Mark;zbest@kane.com;39;Informatique;"Java, Machine Learning, Python";"Gestion de projet, SQL";Intermédiaire;"Docker, Blockchain";"4 mois, 6 mois, 1 mois";30/01/2025;9
Davis;Jessica;ygreen@evans.com;48;Marketing;"Java, Cloud, Gestion de projet";"Gestion de projet, SQL";Débutant;"Kubernetes, Blockchain";"1 mois, 4 mois, 2 mois";02/02/2025;5
Chen;Laura;jacob97@kirby.com;22;Finance;"Cloud, Machine Learning, DevOps";"Python, Cloud";Intermédiaire;"Docker, Cloud Computing";"1 mois, 5 mois, 5 mois";17/02/2025;3
Coleman;Warren;pmccarthy@watkins.com;55;Ingénierie;"Python, Machine Learning, Gestion de projet";"Cloud, Java";Débutant;"Deep Learning, Blockchain";"2 mois, 6 mois, 3 mois";06/02/2025;1
Morales;George;cphelps@gmail.com;58;Ingénierie;"Machine Learning, DevOps, Gestion de projet";"Gestion de projet, SQL";Débutant;"Blockchain, Deep Learning";"6 mois, 6 mois, 1 mois";06/01/2025;2
Mcdaniel;Gordon;julieherman@gmail.com;52;Médecine;"Java, SQL, DevOps";"Gestion de projet, Python";Avancé;"Kubernetes, Deep Learning";"6 mois, 6 mois, 4 mois";13/01/2025;2
Lee;Michael;patrickgutierrez@gmail.com;27;Médecine;"DevOps, Gestion de projet, Java";"SQL, Cloud";Intermédiaire;"Deep Learning, Blockchain";"1 mois, 6 mois, 2 mois";02/02/2025;2
Rodriguez;Jeffrey;qbrown@hotmail.com;58;Médecine;"Gestion de projet, Python, Machine Learning";"Python, Cloud";Intermédiaire;"Blockchain, Deep Learning";"5 mois, 1 mois, 6 mois";06/02/2025;3
Moore;Elizabeth;dennis62@dennis.com;32;Médecine;"Java, Cloud, Gestion de projet";"Java, Machine Learning";Intermédiaire;"Docker, Kubernetes";"3 mois, 2 mois, 3 mois";15/02/2025;1
Garner;Kimberly;ghebert@garrett.com;24;Finance;"SQL, Cloud, Machine Learning";"Cloud, Python";Avancé;"Kubernetes, Deep Learning";"5 mois, 2 mois, 2 mois";02/02/2025;4
Martinez;Emily;jackbuchanan@evans-gray.biz;28;Finance;"DevOps, Cloud, SQL";"SQL, Cloud";Débutant;"Kubernetes, Cloud Computing";"4 mois, 1 mois, 2 mois";03/01/2025;10
Pratt;Kathleen;johnny49@gmail.com;25;Ingénierie;"DevOps, Java, Cloud";"Java, Cloud";Débutant;"Kubernetes, Blockchain";"4 mois, 3 mois, 2 mois";08/02/2025;1
Stuart;Theodore;florescristian@hotmail.com;31;Marketing;"Gestion de projet, SQL, Machine Learning";"Cloud, Python";Débutant;"Docker, Blockchain";"3 mois, 3 mois, 3 mois";04/02/2025;7
Wilson;Brandon;margaretcox@dixon.com;25;Ingénierie;"Java, SQL, Machine Learning";"Gestion de projet, Cloud";Intermédiaire;"Deep Learning, Kubernetes";"1 mois, 1 mois, 6 mois";06/02/2025;1
Sanchez;Danny;thorntonlaura@hotmail.com;26;Marketing;"Machine Learning, Cloud, DevOps";"Gestion de projet, SQL";Débutant;"Docker, Cloud Computing";"3 mois, 2 mois, 4 mois";03/01/2025;10
Jackson;Joseph;carlking@yahoo.com;25;Ingénierie;"Java, Cloud, Python";"Java, Python";Intermédiaire;"Deep Learning, Blockchain";"1 mois, 4 mois, 1 mois";20/01/2025;6
Cooper;Leonard;xwoodward@yahoo.com;38;Ingénierie;"Python, Gestion de projet, SQL";"SQL, Cloud";Intermédiaire;"Blockchain, Docker";"5 mois, 2 mois, 3 mois";11/01/2025;2
Jones;Shannon;john32@yahoo.com;27;Informatique;"Java, Cloud, Machine Learning";"Machine Learning, DevOps";Avancé;"Kubernetes, Deep Learning";"3 mois, 5 mois, 4 mois";01/03/2025;8
Gates;Jessica;tracitownsend@yahoo.com;32;Ingénierie;"Java, Python, Gestion de projet";"Cloud, Gestion de projet";Avancé;"Deep Learning, Blockchain";"1 mois, 4 mois, 1 mois";12/02/2025;2
Love;Melissa;dwilliams@hotmail.com;26;Marketing;"Cloud, Gestion de projet, Python";"SQL, Java";Avancé;"Docker, Cloud Computing";"6 mois, 6 mois, 6 mois";16/01/2025;9
Butler;Deanna;kevinhowe@glover-zamora.biz;33;Finance;"Machine Learning, Cloud, Java";"Machine Learning, DevOps";Avancé;"Cloud Computing, Blockchain";"5 mois, 3 mois, 6 mois";31/01/2025;8
Nelson;Megan;amadden@greene.com;37;Ingénierie;"Java, Gestion de projet, SQL";"Java, SQL";Débutant;"Docker, Kubernetes";"3 mois, 6 mois, 6 mois";17/01/2025;9
Zuniga;Desiree;jocelyn98@stewart.biz;44;Médecine;"DevOps, Python, Gestion de projet";"Cloud, Python";Avancé;"Docker, Blockchain";"4 mois, 2 mois, 2 mois";02/02/2025;4
Black;Kristen;billyallen@gmail.com;44;Finance;"Gestion de projet, Java, Machine Learning";"DevOps, Java";Débutant;"Kubernetes, Docker";"5 mois, 6 mois, 4 mois";26/01/2025;4
Castro;Rita;cconner@gmail.com;39;Informatique;"SQL, Cloud, Java";"Python, Cloud";Débutant;"Kubernetes, Blockchain";"5 mois, 2 mois, 2 mois";30/01/2025;5
Sanchez;Debra;philip09@smith.biz;49;Finance;"Machine Learning, SQL, DevOps";"Gestion de projet, DevOps";Débutant;"Blockchain, Docker";"2 mois, 3 mois, 3 mois";02/03/2025;2
Barron;Steven;benjamin59@yahoo.com;42;Ingénierie;"Machine Learning, Gestion de projet, SQL";"Gestion de projet, Cloud";Avancé;"Deep Learning, Docker";"2 mois, 5 mois, 6 mois";08/01/2025;10
Lewis;Kari;prestoncaldwell@gmail.com;39;Informatique;"Cloud, Java, SQL";"Gestion de projet, Python";Avancé;"Blockchain, Cloud Computing";"6 mois, 4 mois, 3 mois";02/02/2025;2
Smith;Jeffrey;mason91@hotmail.com;32;Marketing;"Java, Cloud, SQL";"SQL, DevOps";Débutant;"Blockchain, Kubernetes";"5 mois, 2 mois, 5 mois";13/01/2025;7
Spears;Julia;browndanielle@holt-phillips.com;39;Informatique;"DevOps, SQL, Python";"Java, Gestion de projet";Intermédiaire;"Kubernetes, Cloud Computing";"4 mois, 4 mois, 6 mois";01/01/2025;2
Jones;Scott;brian06@yahoo.com;33;Ingénierie;"Cloud, SQL, Machine Learning";"Machine Learning, Gestion de projet";Avancé;"Kubernetes, Docker";"6 mois, 6 mois, 3 mois";19/01/2025;4
Wells;Joseph;jeffreysherman@yahoo.com;26;Médecine;"Cloud, Java, SQL";"Gestion de projet, DevOps";Intermédiaire;"Kubernetes, Deep Learning";"1 mois, 6 mois, 1 mois";19/01/2025;2
Stewart;Jared;haydenbrandi@brown-harper.com;53;Ingénierie;"Java, Cloud, Gestion de projet";"SQL, Java";Intermédiaire;"Deep Learning, Docker";"3 mois, 5 mois, 1 mois";09/01/2025;7
Pham;Cassandra;kimberlystevens@zamora.info;57;Médecine;"DevOps, SQL, Gestion de projet";"DevOps, Cloud";Débutant;"Docker, Deep Learning";"4 mois, 1 mois, 5 mois";18/02/2025;2
Mcdonald;Nicholas;morganedward@wagner.com;34;Informatique;"Gestion de projet, SQL, DevOps";"DevOps, Cloud";Avancé;"Docker, Deep Learning";"1 mois, 3 mois, 4 mois";12/01/2025;2
Spencer;Whitney;jamesjohnson@pearson-novak.biz;42;Marketing;"DevOps, Gestion de projet, SQL";"Gestion de projet, Java";Intermédiaire;"Blockchain, Deep Learning";"5 mois, 6 mois, 2 mois";23/02/2025;9
Williams;Virginia;rsanford@pena.biz;22;Marketing;"Cloud, SQL, Java";"SQL, Cloud";Avancé;"Blockchain, Cloud Computing";"4 mois, 5 mois, 5 mois";23/02/2025;5
Brown;Laura;seth24@hotmail.com;47;Informatique;"Machine Learning, SQL, Python";"DevOps, Machine Learning";Intermédiaire;"Kubernetes, Docker";"5 mois, 3 mois, 6 mois";05/02/2025;9
Hernandez;Tony;adamsjohn@yahoo.com;31;Marketing;"Cloud, Python, SQL";"Cloud, Gestion de projet";Débutant;"Deep Learning, Kubernetes";"2 mois, 5 mois, 5 mois";03/01/2025;6
Carroll;Shannon;jhill@yahoo.com;21;Informatique;"DevOps, Cloud, Machine Learning";"SQL, Cloud";Débutant;"Blockchain, Cloud Computing";"6 mois, 3 mois, 1 mois";05/01/2025;3
Andrews;Kyle;hallbianca@hotmail.com;39;Informatique;"SQL, Python, Java";"DevOps, Machine Learning";Débutant;"Docker, Kubernetes";"4 mois, 4 mois, 2 mois";01/01/2025;10
Frost;Anthony;tonya34@yahoo.com;20;Finance;"Gestion de projet, Machine Learning, Python";"Cloud, SQL";Avancé;"Cloud Computing, Kubernetes";"3 mois, 3 mois, 1 mois";12/02/2025;3
Mcdonald;Tiffany;bushmark@yahoo.com;26;Informatique;"Python, Gestion de projet, Java";"DevOps, SQL";Intermédiaire;"Cloud Computing, Blockchain";"6 mois, 1 mois, 1 mois";18/02/2025;1
Hamilton;Jesse;kennethsimpson@gmail.com;58;Médecine;"Python, DevOps, SQL";"Java, Gestion de projet";Intermédiaire;"Docker, Blockchain";"4 mois, 5 mois, 4 mois";10/01/2025;9
Thomas;Tyler;heatheredwards@yahoo.com;54;Finance;"Machine Learning, Java, SQL";"Java, Machine Learning";Intermédiaire;"Blockchain, Cloud Computing";"5 mois, 4 mois, 1 mois";03/02/2025;3
Anderson;Christopher;grussell@cummings.com;35;Médecine;"SQL, Cloud, Python";"SQL, Machine Learning";Intermédiaire;"Cloud Computing, Kubernetes";"3 mois, 3 mois, 4 mois";04/01/2025;2
Mitchell;Christina;wilkersonbrianna@herrera.org;27;Informatique;"Python, Java, Cloud";"Java, Gestion de projet";Débutant;"Deep Learning, Docker";"1 mois, 2 mois, 6 mois";20/02/2025;2
Ross;Brandon;vincentmora@gmail.com;30;Informatique;"Machine Learning, Java, Python";"Gestion de projet, Machine Learning";Avancé;"Kubernetes, Deep Learning";"1 mois, 6 mois, 3 mois";03/02/2025;5
Jimenez;Zoe;courtneywade@chung-wall.biz;59;Marketing;"Cloud, Java, DevOps";"Machine Learning, Cloud";Avancé;"Cloud Computing, Docker";"3 mois, 6 mois, 2 mois";08/02/2025;2
Scott;Eric;javiermoyer@walker.com;22;Marketing;"Gestion de projet, Java, SQL";"SQL, Cloud";Débutant;"Docker, Kubernetes";"6 mois, 2 mois, 4 mois";04/02/2025;2
Johnson;Evan;skelly@gmail.com;52;Informatique;"Java, Gestion de projet, Cloud";"Gestion de projet, DevOps";Intermédiaire;"Kubernetes, Cloud Computing";"2 mois, 1 mois, 3 mois";11/02/2025;7
Obrien;Michele;natalie95@yahoo.com;33;Marketing;"Cloud, Java, Machine Learning";"Java, DevOps";Intermédiaire;"Docker, Deep Learning";"2 mois, 2 mois, 2 mois";26/01/2025;6
Chavez;Pamela;williamwilliams@hotmail.com;52;Informatique;"Machine Learning, Gestion de projet, Cloud";"Cloud, Python";Débutant;"Blockchain, Kubernetes";"5 mois, 2 mois, 1 mois";10/02/2025;9
Raymond;Nicholas;karenpeterson@yahoo.com;32;Marketing;"DevOps, Python, Cloud";"DevOps, Cloud";Débutant;"Cloud Computing, Kubernetes";"5 mois, 4 mois, 1 mois";21/01/2025;2
Coffey;Andrew;donnamcbride@yahoo.com;49;Finance;"Machine Learning, DevOps, SQL";"Gestion de projet, DevOps";Intermédiaire;"Deep Learning, Docker";"1 mois, 4 mois, 2 mois";07/01/2025;7
Miller;Victoria;hallshawn@yahoo.com;36;Médecine;"Python, DevOps, Gestion de projet";"SQL, Python";Débutant;"Cloud Computing, Blockchain";"1 mois, 1 mois, 3 mois";11/02/2025;8
Foster;Michael;mirandawagner@johnson.com;21;Marketing;"Cloud, Java, SQL";"Gestion de projet, SQL";Débutant;"Cloud Computing, Blockchain";"1 mois, 3 mois, 6 mois";28/02/2025;7
Moreno;Michael;davidterry@shah-clayton.biz;54;Finance;"Python, Java, Gestion de projet";"Machine Learning, Java";Avancé;"Blockchain, Deep Learning";"2 mois, 4 mois, 5 mois";02/02/2025;7
Choi;Alyssa;colealexander@hotmail.com;24;Marketing;"Gestion de projet, Cloud, Java";"Machine Learning, DevOps";Débutant;"Kubernetes, Cloud Computing";"1 mois, 3 mois, 2 mois";13/01/2025;6
Mitchell;Connie;robert34@yahoo.com;45;Informatique;"DevOps, SQL, Cloud";"SQL, Cloud";Débutant;"Blockchain, Docker";"2 mois, 5 mois, 2 mois";30/01/2025;5
May;Kristy;christopherrichards@estrada-wall.biz;27;Marketing;"Python, Gestion de projet, DevOps";"Cloud, SQL";Intermédiaire;"Blockchain, Kubernetes";"3 mois, 5 mois, 2 mois";20/01/2025;1
Johnson;Tony;jessica11@jarvis-stokes.biz;27;Informatique;"Java, SQL, DevOps";"Python, Gestion de projet";Intermédiaire;"Kubernetes, Deep Learning";"2 mois, 3 mois, 2 mois";05/02/2025;8
Roth;Mark;pratterik@rodriguez-hull.info;58;Ingénierie;"Java, Machine Learning, DevOps";"Java, Machine Learning";Avancé;"Blockchain, Kubernetes";"6 mois, 6 mois, 5 mois";11/02/2025;5
Jones;Sandra;joann18@carter.net;40;Médecine;"Python, SQL, DevOps";"Cloud, Python";Avancé;"Blockchain, Kubernetes";"2 mois, 3 mois, 1 mois";28/02/2025;1
Obrien;Matthew;adam16@yahoo.com;25;Finance;"Cloud, DevOps, SQL";"Java, Machine Learning";Intermédiaire;"Blockchain, Kubernetes";"1 mois, 1 mois, 1 mois";16/02/2025;7
Buchanan;Monica;davidbell@yahoo.com;56;Informatique;"Python, Cloud, Java";"DevOps, Java";Débutant;"Blockchain, Kubernetes";"4 mois, 4 mois, 6 mois";27/01/2025;9
Kaiser;Mary;murphymallory@yahoo.com;49;Médecine;"Python, Gestion de projet, SQL";"Python, SQL";Intermédiaire;"Blockchain, Cloud Computing";"6 mois, 3 mois, 2 mois";17/02/2025;4
Stewart;Peter;donovanmichael@gmail.com;29;Marketing;"Cloud, SQL, Java";"Cloud, Gestion de projet";Intermédiaire;"Kubernetes, Deep Learning";"4 mois, 1 mois, 4 mois";06/01/2025;3
Paul;Jacqueline;bryantchristina@yahoo.com;26;Informatique;"Python, DevOps, Java";"DevOps, Java";Avancé;"Cloud Computing, Blockchain";"1 mois, 4 mois, 3 mois";03/02/2025;1
Chapman;Thomas;khiggins@yahoo.com;52;Informatique;"SQL, DevOps, Gestion de projet";"Gestion de projet, Machine Learning";Avancé;"Kubernetes, Deep Learning";"1 mois, 5 mois, 5 mois";16/02/2025;4
Jones;Alexander;afowler@gmail.com;45;Marketing;"Java, Cloud, DevOps";"Machine Learning, Cloud";Intermédiaire;"Deep Learning, Kubernetes";"4 mois, 1 mois, 5 mois";14/02/2025;2
Shannon;Debra;sanderson@silva.org;41;Ingénierie;"Gestion de projet, DevOps, SQL";"Python, Machine Learning";Intermédiaire;"Blockchain, Kubernetes";"5 mois, 2 mois, 2 mois";23/01/2025;6
Hill;Natalie;robertsmatthew@gmail.com;28;Finance;"Java, DevOps, Python";"Cloud, DevOps";Intermédiaire;"Cloud Computing, Blockchain";"2 mois, 3 mois, 6 mois";11/01/2025;5
Garrett;Susan;sbennett@frazier.com;53;Ingénierie;"Java, SQL, DevOps";"Gestion de projet, DevOps";Intermédiaire;"Kubernetes, Blockchain";"1 mois, 5 mois, 4 mois";08/02/2025;3
Fernandez;Amy;richard20@reese.com;59;Ingénierie;"Gestion de projet, DevOps, Cloud";"SQL, Cloud";Débutant;"Cloud Computing, Deep Learning";"5 mois, 2 mois, 3 mois";21/02/2025;8
Williams;David;kingalan@yahoo.com;27;Médecine;"Java, SQL, DevOps";"Gestion de projet, Python";Intermédiaire;"Deep Learning, Blockchain";"3 mois, 3 mois, 5 mois";19/01/2025;4
Johnson;Charles;ygarza@yahoo.com;22;Ingénierie;"Python, DevOps, Cloud";"SQL, Java";Avancé;"Docker, Cloud Computing";"3 mois, 4 mois, 6 mois";12/01/2025;6
Austin;Jillian;rwalker@mora-mccormick.com;48;Marketing;"Python, Gestion de projet, DevOps";"Machine Learning, SQL";Débutant;"Blockchain, Docker";"6 mois, 5 mois, 1 mois";27/02/2025;3
Barton;Joshua;tcarrillo@lucero-lewis.com;41;Informatique;"Java, Python, Machine Learning";"Machine Learning, Cloud";Débutant;"Cloud Computing, Kubernetes";"3 mois, 5 mois, 3 mois";17/01/2025;2
Casey;John;wlopez@moore.com;26;Finance;"SQL, Gestion de projet, Machine Learning";"DevOps, Gestion de projet";Débutant;"Kubernetes, Docker";"4 mois, 3 mois, 6 mois";07/02/2025;3
Martinez;Michael;codymarshall@warren.org;52;Finance;"Machine Learning, DevOps, Cloud";"Java, Machine Learning";Avancé;"Blockchain, Cloud Computing";"3 mois, 4 mois, 2 mois";17/02/2025;10
Garrison;Michele;luisnash@myers-cox.com;23;Marketing;"SQL, Cloud, Python";"Python, Cloud";Débutant;"Docker, Deep Learning";"2 mois, 3 mois, 5 mois";25/01/2025;5
Evans;Chelsea;scottnathaniel@hotmail.com;48;Médecine;"Machine Learning, Python, SQL";"Python, Cloud";Débutant;"Docker, Kubernetes";"5 mois, 4 mois, 3 mois";04/01/2025;2
Colon;Lindsay;jillabbott@johnson.biz;37;Médecine;"Machine Learning, DevOps, Java";"Gestion de projet, Cloud";Intermédiaire;"Deep Learning, Docker";"6 mois, 5 mois, 3 mois";18/01/2025;4
Wells;Christopher;twilson@weaver-miller.com;56;Ingénierie;"Cloud, SQL, DevOps";"Cloud, Java";Intermédiaire;"Docker, Kubernetes";"2 mois, 4 mois, 6 mois";02/01/2025;9
Clark;Jennifer;brownsavannah@anderson.info;31;Médecine;"Machine Learning, Java, Python";"Machine Learning, Python";Avancé;"Docker, Deep Learning";"2 mois, 5 mois, 4 mois";24/02/2025;7
Aguirre;Ian;jose69@thomas.biz;40;Ingénierie;"Java, Cloud, Gestion de projet";"DevOps, Cloud";Intermédiaire;"Deep Learning, Docker";"2 mois, 6 mois, 1 mois";22/01/2025;7
Vasquez;Donald;jamie88@hotmail.com;33;Médecine;"Gestion de projet, Machine Learning, Cloud";"Machine Learning, SQL";Débutant;"Blockchain, Cloud Computing";"4 mois, 1 mois, 4 mois";27/01/2025;2
Richardson;Clifford;owilliams@baker-young.com;20;Médecine;"Cloud, Gestion de projet, SQL";"Java, Gestion de projet";Intermédiaire;"Deep Learning, Docker";"5 mois, 3 mois, 1 mois";06/02/2025;5
Campbell;Elizabeth;nguyenpeter@hotmail.com;47;Marketing;"Gestion de projet, SQL, Machine Learning";"Cloud, Machine Learning";Avancé;"Cloud Computing, Blockchain";"1 mois, 1 mois, 3 mois";19/02/2025;1
Harris;Erik;kathywilliams@yahoo.com;49;Médecine;"Java, Cloud, Gestion de projet";"Python, SQL";Débutant;"Blockchain, Cloud Computing";"3 mois, 1 mois, 1 mois";24/02/2025;3
Smith;Christopher;elizabethellis@hotmail.com;23;Ingénierie;"Java, Python, SQL";"SQL, Python";Intermédiaire;"Docker, Kubernetes";"4 mois, 4 mois, 3 mois";27/01/2025;8
Hall;Julia;gregorywagner@hotmail.com;60;Médecine;"Machine Learning, Gestion de projet, DevOps";"Gestion de projet, SQL";Intermédiaire;"Docker, Blockchain";"5 mois, 3 mois, 1 mois";26/01/2025;10
Clark;Larry;david31@ortega-mendez.com;29;Médecine;"Cloud, Gestion de projet, SQL";"Machine Learning, Java";Débutant;"Kubernetes, Cloud Computing";"1 mois, 3 mois, 1 mois";14/01/2025;8
Vargas;Rachel;hgarcia@hotmail.com;22;Finance;"SQL, DevOps, Gestion de projet";"DevOps, Gestion de projet";Intermédiaire;"Cloud Computing, Kubernetes";"2 mois, 6 mois, 1 mois";18/02/2025;6
Mays;Patricia;ngregory@hill.com;47;Médecine;"Python, Java, Machine Learning";"SQL, Python";Avancé;"Blockchain, Docker";"4 mois, 3 mois, 1 mois";14/02/2025;5
Marquez;Ashley;xstevens@yahoo.com;43;Ingénierie;"Cloud, Machine Learning, Java";"SQL, Python";Avancé;"Cloud Computing, Kubernetes";"4 mois, 2 mois, 3 mois";18/02/2025;10
Calderon;Martha;claudia91@wang.com;37;Informatique;"Cloud, Java, Python";"Gestion de projet, Python";Débutant;"Kubernetes, Docker";"4 mois, 2 mois, 6 mois";16/02/2025;6
Martin;Alex;wmalone@webb.com;23;Marketing;"Gestion de projet, Cloud, Java";"DevOps, SQL";Avancé;"Docker, Blockchain";"2 mois, 5 mois, 3 mois";16/02/2025;5
Camacho;Timothy;jwhite@flowers-alexander.net;54;Médecine;"Python, SQL, Gestion de projet";"SQL, Python";Intermédiaire;"Blockchain, Deep Learning";"1 mois, 2 mois, 2 mois";10/02/2025;9
Lopez;Dwayne;sdavis@hotmail.com;60;Finance;"Java, Machine Learning, SQL";"Gestion de projet, Java";Avancé;"Cloud Computing, Kubernetes";"2 mois, 5 mois, 2 mois";08/01/2025;4
Graves;Lisa;joseph09@gmail.com;41;Marketing;"DevOps, Cloud, Gestion de projet";"Machine Learning, SQL";Intermédiaire;"Kubernetes, Blockchain";"4 mois, 4 mois, 6 mois";11/02/2025;6
Sherman;Wesley;terrirobbins@gmail.com;42;Ingénierie;"Cloud, Java, SQL";"Machine Learning, Cloud";Intermédiaire;"Deep Learning, Docker";"4 mois, 3 mois, 3 mois";05/01/2025;3
Cantu;Marcus;mariaburns@gomez-warren.org;51;Finance;"Cloud, Gestion de projet, SQL";"Cloud, SQL";Intermédiaire;"Blockchain, Cloud Computing";"6 mois, 6 mois, 3 mois";15/02/2025;9
Parker;David;clifford45@gmail.com;54;Finance;"Java, DevOps, Gestion de projet";"Machine Learning, DevOps";Intermédiaire;"Cloud Computing, Docker";"5 mois, 5 mois, 1 mois";28/01/2025;2
